number of commands per 100 mm ( a = 1000),25 mm/s,20 mm/s,15 mm/s,10 mm/s,5 mm/s
390,12.4899959967968,12.4899959967968,12.5166666666667,13.9000000000000,21.9500000000000
400,12.6491106406735,12.6491106406735,12.6666666666667,14.0000000000000,22.0000000000000
410,12.8062484748657,12.8062484748657,12.8166666666667,14.1000000000000,22.0500000000000
420,12.9614813968157,12.9614813968157,12.9666666666667,14.2000000000000,22.1000000000000
430,13.1148770486040,13.1148770486040,13.1166666666667,14.3000000000000,22.1500000000000
440,13.2664991614216,13.2664991614216,13.2666666666667,14.4000000000000,22.2000000000000
450,13.4164078649987,13.4164078649987,13.4164078649987,14.5000000000000,22.2500000000000
460,13.5646599662505,13.5646599662505,13.5646599662505,14.6000000000000,22.3000000000000
470,13.7113092008021,13.7113092008021,13.7113092008021,14.7000000000000,22.3500000000000
480,13.8564064605510,13.8564064605510,13.8564064605510,14.8000000000000,22.4000000000000
490,14.0000000000000,14.0000000000000,14.0000000000000,14.9000000000000,22.4500000000000
500,14.1421356237310,14.1421356237310,14.1421356237310,15.0000000000000,22.5000000000000
510,14.2828568570857,14.2828568570857,14.2828568570857,15.1000000000000,22.5500000000000
520,14.4222051018560,14.4222051018560,14.4222051018560,15.2000000000000,22.6000000000000
530,14.5602197785610,14.5602197785610,14.5602197785610,15.3000000000000,22.6500000000000
540,14.6969384566991,14.6969384566991,14.6969384566991,15.4000000000000,22.7000000000000
550,14.8323969741913,14.8323969741913,14.8323969741913,15.5000000000000,22.7500000000000
560,14.9666295470958,14.9666295470958,14.9666295470958,15.6000000000000,22.8000000000000
570,15.0996688705415,15.0996688705415,15.0996688705415,15.7000000000000,22.8500000000000
580,15.2315462117278,15.2315462117278,15.2315462117278,15.8000000000000,22.9000000000000
590,15.3622914957372,15.3622914957372,15.3622914957372,15.9000000000000,22.9500000000000
600,15.4919333848297,15.4919333848297,15.4919333848297,16.0000000000000,23.0000000000000
610,15.6204993518133,15.6204993518133,15.6204993518133,16.1000000000000,23.0500000000000
620,15.7480157480236,15.7480157480236,15.7480157480236,16.2000000000000,23.1000000000000
630,15.8745078663875,15.8745078663875,15.8745078663875,16.3000000000000,23.1500000000000
640,16.0000000000000,16.0000000000000,16.0000000000000,16.4000000000000,23.2000000000000
650,16.1245154965971,16.1245154965971,16.1245154965971,16.5000000000000,23.2500000000000
660,16.2480768092719,16.2480768092719,16.2480768092719,16.6000000000000,23.3000000000000
670,16.3707055437449,16.3707055437449,16.3707055437449,16.7000000000000,23.3500000000000
680,16.4924225024706,16.4924225024706,16.4924225024706,16.8000000000000,23.4000000000000
690,16.6132477258361,16.6132477258361,16.6132477258361,16.9000000000000,23.4500000000000
700,16.7332005306815,16.7332005306815,16.7332005306815,17.0000000000000,23.5000000000000
710,16.8522995463527,16.8522995463527,16.8522995463527,17.1000000000000,23.5500000000000
720,16.9705627484771,16.9705627484771,16.9705627484771,17.2000000000000,23.6000000000000
730,17.0880074906351,17.0880074906351,17.0880074906351,17.3000000000000,23.6500000000000
740,17.2046505340853,17.2046505340853,17.2046505340853,17.4000000000000,23.7000000000000
750,17.3205080756888,17.3205080756888,17.3205080756888,17.5000000000000,23.7500000000000
760,17.4355957741627,17.4355957741627,17.4355957741627,17.6000000000000,23.8000000000000
770,17.5499287747842,17.5499287747842,17.5499287747842,17.7000000000000,23.8500000000000
780,17.6635217326557,17.6635217326557,17.6635217326557,17.8000000000000,23.9000000000000
790,17.7763888346312,17.7763888346312,17.7763888346312,17.9000000000000,23.9500000000000
800,17.8885438199983,17.8885438199983,17.8885438199983,18.0000000000000,24.0000000000000
