number of commands per 100 mm (v = 20),1500 mm/s/s,1000 mm/s/s,800 mm/s/s,600 mm/s/s,400 mm/s/s,200 mm/s/s
710,13.7598449603669,16.8522995463527,18.8414436814168,21.7562251627743,26.6458251889485,37.6828873628335
720,13.8564064605510,16.9705627484771,18.9736659610103,21.9089023002066,26.8328157299975,37.9473319220206
730,13.9522996909709,17.0880074906351,19.1049731745428,22.0605228103657,27.0185121722126,38.2099463490856
740,14.0475383371370,17.2046505340853,19.2353840616713,22.2111083319436,27.2029410174709,38.4707681233427
750,14.1421356237309,17.3205080756888,19.3649167310371,22.3606797749979,27.3861278752583,38.7298334620742
760,14.2361043360417,17.4355957741627,19.4935886896179,22.5092573548455,27.5680975041804,38.9871773792359
770,14.3294568401365,17.5499287747842,19.6214168703486,22.6568606239552,27.7488738510232,39.2428337406972
780,14.4222051018560,17.6635217326557,19.7484176581315,22.8035085019828,27.9284800875379,39.4968353162630
790,14.5143607047182,17.7763888346312,19.8746069143518,22.9492193040780,28.1069386451104,39.7492138287036
800,14.6059348668044,17.8885438199983,20.0000000000000,23.0940107675850,28.2842712474619,40.0000000000000
810,14.6969384566991,18.0000000000000,20.1246117974981,23.2379000772445,28.4604989415154,40.2492235949962
820,14.7873820085459,18.1107702762748,20.2484567313166,23.3809038890002,28.6356421265527,40.4969134626332
830,14.8772757362809,18.2208671582886,20.3715487874634,23.5230383525031,28.8097205817759,40.7430975749267
840,14.9666295470958,18.3303027798234,20.4939015319192,23.6643191323985,28.9827534923789,40.9878030638384
850,15.0554530541816,18.4390889145858,20.6155281280883,23.8047614284762,29.1547594742265,41.2310562561766
860,15.1437555888007,18.5472369909914,20.7364413533277,23.9443799947573,29.3257565972304,41.4728827066554
870,15.2315462117278,18.6547581061776,20.8566536146142,24.0831891575846,29.4957624075053,41.7133072292284
880,15.3188337241014,18.7616630392937,20.9761769634030,24.2212028327799,29.6647939483827,41.9523539268061
890,15.4056266777218,18.8679622641132,21.0950231097290,24.3584345419268,29.8328677803526,42.1900462194580
900,15.4919333848297,18.9736659610103,21.2132034355964,24.4948974278318,30.0000000000000,42.4264068711929
910,15.5777619273972,19.0787840283389,21.3307290077015,24.6306042692149,30.1662062579967,42.6614580154031
920,15.6631201659610,19.1833260932509,21.4476105895272,24.7655674946756,30.3315017762062,42.8952211790544
930,15.7480157480236,19.2873015219859,21.5638586528478,24.8997991959775,30.4959013639538,43.1277173056956
940,15.8324561160506,19.3907194296653,21.6794833886788,25.0333111406915,30.6594194335118,43.3589667773576
950,15.9164485150844,19.4935886896179,21.7944947177034,25.1661147842358,30.8220700148449,43.5889894354067
960,16.0000000000000,19.5959179422654,21.9089023002066,25.2982212813470,30.9838667696593,43.8178046004133
970,16.0831174424198,19.6977156035922,22.0227155455452,25.4296414970142,31.1448230047949,44.0454310910905
980,16.1658075373095,19.7989898732233,22.1359436211787,25.5603860169078,31.3049516849971,44.2718872423573
990,16.2480768092719,19.8997487421324,22.2485954612870,25.6904651573303,31.4642654451045,44.4971909225740
1000,16.3299316185545,20.0000000000000,22.3606797749979,25.8198889747161,31.6227766016838,44.7213595499958
